Titulo,Link,Imagen,Descripcion,Fecha
Sector minero: opacado por controles deficientes y pesada tramitología,/noticia/1102338926/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia,/contenido/cache/6a/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia-imagen-1-_20210124073452-200x138.jpg,"La fusión de ministerios dejó una creciente cantidad de trabajo en, cada vez, menos manos. El sector crece, pero no tiene apoyo.",""
Siete de cada diez dólares entregado en microcrédito fue diferido durante la crisis,/noticia/1102338929/siete-de-cada-diez-dolares-entregado-en-microcredito-fue-diferido-durante-la-crisis,/contenido/cache/78/siete-de-cada-diez-dolares-entregado-en-microcredito-fue-diferido-durante-la-crisis-imagen-1-_20210124074122-200x80.jpg,"Ese segmento es uno de los más golpeados por el cierre de negocios, el despido de empleados y la reducción de ingresos. Los bancos de microfinanzas perdieron el 91% de su utilidad.",""
UE exige respuestas por retrasos de vacunas de Pfizer y Astrazeneca,/noticia/1102338920/ue-exige-respuestas-por-retrasos-de-vacunas-de-pfizer-y-astrazeneca,/contenido/cache/68/ue-exige-respuestas-por-retrasos-de-vacunas-de-pfizer-y-astrazeneca-imagen-1-_20210124072708-200x80.jpg,Los laboratorios aseguran que habrá un retraso en las entregas pero eso permitirá tener más vacunas en los próximos meses.,""
Rebrote: Test masivos y confinamiento en China ,/noticia/1102338921/rebrote-test-masivos-y-confinamiento-en-china-,/contenido/cache/53/rebrote-test-masivos-y-confinamiento-en-china-imagen-1-_20210124073034-200x80.jpg,"Las autoridades chinas redoblan sus esfuerzos por contener los rebrotes que azotan tres provincias nororientales del país, donde se han aislado al menos once zonas por los contagios de los últimos días y se realizan test masivos entre la población en un intento por frenar la curva de casos.",""
En campaña electoral se proponen reformas para garantizar independencia judicial,/noticia/1102338934/en-campana-electoral-se-proponen-reformas-para-garantizar-independencia-judicial,/contenido/cache/75/en-campana-electoral-se-proponen-reformas-para-garantizar-independencia-judicial-imagen-1-_20210124080050-200x138.jpg,Desaparecer o modificar la estructura de este organismo requiere de reformas constitucionales.,""
Mujeres llaman a los candidatos a trabajar con enfoque de género ,/noticia/1102338930/mujeres-llaman-a-los-candidatos-a-trabajar-con-enfoque-de-genero-,/contenido/cache/66/mujeres-llaman-a-los-candidatos-a-trabajar-con-enfoque-de-genero-imagen-1-_20210124074821-200x80.jpg,La real aplicación de la Ley para Prevenir y Erradicar la violencia contra las mujeres es el reto que deberá enfrentar el nuevo gobierno. ,""
"Yaku Pérez dice que el poder es tóxico, pero lucha por ser presidente",/noticia/1102338933/yaku-perez-dice-que-el-poder-es-toxico-pero-lucha-por-ser-presidente,/contenido/cache/69/yaku-perez-dice-que-el-poder-es-toxico-pero-lucha-por-ser-presidente-imagen-1-_20210124075644-200x80.jpg,"Agua de Monte (su nombre traducido al español), propone eliminar cuatro instituciones públicas y el examen de ingreso a la universidad.",""
Sector minero: opacado por controles deficientes y pesada tramitología,/noticia/1102338926/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia,/contenido/cache/6a/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia-imagen-1-_20210124073452-200x80.jpg,"La fusión de ministerios dejó una creciente cantidad de trabajo en, cada vez, menos manos. El sector crece, pero no tiene apoyo.",""
Simulacro para ultimar detalles previo al sufragio ,/esmeraldas/noticia/1102338963/simulacro-para-ultimar-detalles-previo-al-sufragio-,/contenido/cache/58/simulacro-para-ultimar-detalles-previo-al-sufragio-imagen-1-_20210124102550-200x138.jpg,"Las personas que se dedican a plastificar los certificados de votación y a la venta de comida u otros productos, no podrán hacerlo cerca de los recintos electorales, el día de las elecciones. ",""
Prevenir el Covid 19 durante las elecciones ,/esmeraldas/noticia/1102338965/prevenir-el-covid-19-durante-las-elecciones-,/contenido/cache/52/prevenir-el-covid-19-durante-las-elecciones-imagen-1-_20210124102723-200x80.jpg,"El domingo 7 de febrero de 2021, los ciudadanos acudirán a las urnas para elegir al Presidente, asambleístas nacionales y provinciales y parlamentarios andinos.",""
Cuidados hacia la vida silvestre ,/esmeraldas/noticia/1102338954/cuidados-hacia-la-vida-silvestre-,/contenido/cache/46/cuidados-hacia-la-vida-silvestre-imagen-1-_20210124091759-200x80.jpg,"Las boas y las tortugas golfinas, han sido las más rescatadas y devueltas a su hábitat, previo a la revisión por un médico veterinario, según reportes de la UPMA.",""
Gresca con bala y piedras deja tres heridos,/esmeraldas/noticia/1102338956/gresca-con-bala-y-piedras-deja-tres-heridos,/contenido/cache/50/gresca-con-bala-y-piedras-deja-tres-heridos-imagen-1-_20210124092428-200x80.jpg,"Una trifulca ocurrida la madrugada de ayer en parroquia La Unión de Quinindé, terminó en sangre.",""
Roban vehículos en Colombia para venderlos en Ecuador ,/imbabura/noticia/1102338936/roban-vehiculos-en-colombia-para-venderlos-en-ecuador-,/contenido/cache/5b/roban-vehiculos-en-colombia-para-venderlos-en-ecuador-imagen-1-_20210124080502-200x138.jpg,"El Puente Internacional de Rumichaca, en Carchi, se volvió a abrir para devolver los carros recuperados por la Policía ecuatoriana.",""
Carchi tendrá su primer museo de vida silvestre,/imbabura/noticia/1102338937/carchi-tendra-su-primer-museo-de-vida-silvestre,/contenido/cache/54/carchi-tendra-su-primer-museo-de-vida-silvestre-imagen-1-_20210124080559-200x80.jpg,"El Municipio de Montúfar firmó el contrato de comodato con la Asociación de Turismo Mindalae Adventure, para la implementación del primer museo de vida silvestre en Carchi, que funcionará en la calle Olmedo y Rocafuerte, en el centro de San Gabriel, junto al Museo de las Artesanías. ",""
Se construirá fosa común en cementerio de Pimampiro,/imbabura/noticia/1102338938/se-construira-fosa-comun-en-cementerio-de-pimampiro,/contenido/cache/58/se-construira-fosa-comun-en-cementerio-de-pimampiro-imagen-1-_20210124080641-200x80.jpg,"Tras una reunión entre la Alcaldía, el Vicario de la Iglesia de Pimampiro y la Hermandad de los Santos Varones, se llegó a un acuerdo en donde la municipalidad hará una intervención del 3% del cementerio, para la construcción progresiva de una fosa común, en donde se realizarán trabajos de excavación y limpieza, por etapas.",""
Tres semanas demoraría en llegar las vacunas a Imbabura y Carchi,/imbabura/noticia/1102338797/tres-semanas-demoraria-en-llegar-las-vacunas-a-imbabura-y-carchi,/contenido/cache/65/tres-semanas-demoraria-en-llegar-las-vacunas-a-imbabura-y-carchi-imagen-1-_20210121105530-200x80.jpg,"Con el arribo de las vacunas al Ecuador y la colocación ayer de las primeras dosis, la expectativa por saber cuándo llegarán a las provincias aumenta. 
",""
Rescate y captura de serpientes alerta a los ciudadanos,/losrios/noticia/1102338949/rescate-y-captura-de-serpientes-alerta-a-los-ciudadanos,/contenido/cache/5c/rescate-y-captura-de-serpientes-alerta-a-los-ciudadanos-imagen-1-_20210124090818-200x138.jpg,En lo que va de este año se han registrado la recuperación de 13 serpientes en diferentes sectores del cantón. ,""
En Los Ríos se realiza el simulacro electoral,/losrios/noticia/1102338950/en-los-rios-se-realiza-el-simulacro-electoral,/contenido/cache/53/en-los-rios-se-realiza-el-simulacro-electoral-imagen-1-_20210124090943-200x80.jpg,Con esta prueba se busca subsanar detalles para que las elecciones se desarrollen con normalidad.,""
Agricultores aprenden sobre cultivo del hartón,/losrios/noticia/1102338951/agricultores-aprenden-sobre-cultivo-del-harton,/contenido/cache/53/agricultores-aprenden-sobre-cultivo-del-harton-imagen-1-_20210124091138-200x80.jpg,"Técnicos de la Dirección de Gestión de Desarrollo Agropecuario de la Prefectura de Los Ríos, ofrecen capacitación y acompañamiento a las actividades que realizan los pequeños y medianos
productores de plátano.
",""
Ayudas técnicas para personas con discapacidad,/losrios/noticia/1102338952/ayudas-tecnicas-para-personas-con-discapacidad,/contenido/cache/53/ayudas-tecnicas-para-personas-con-discapacidad-imagen-1-_20210124091242-200x80.jpg,"Personas que habitan en la parroquia Febres Cordero y que tienen problemas motrices, cuyo traslado se dificulta, recibieron ayudas técnicas (sillas de ruedas y bastones), por parte de la Alcaldía de Babahoyo.",""
"Covid-19, dengue y malaria se juntan en la temporada invernal",/santodomingo/noticia/1102338972/covid-19-dengue-y-malaria-se-juntan-en-la-temporada-invernal,/contenido/cache/61/covid-19-dengue-y-malaria-se-juntan-en-la-temporada-invernal-imagen-1-_20210124103601-200x138.jpg,"En el invierno las enfermedades vectoriales proliferan, pero la ciudadanía puede prevenirlas.",""
Deuda Estatal retrasa planificación del mantenimiento vial,/santodomingo/noticia/1102338973/deuda-estatal-retrasa-planificacion-del-mantenimiento-vial,/contenido/cache/5f/deuda-estatal-retrasa-planificacion-del-mantenimiento-vial-imagen-1-_20210124103702-200x80.jpg,En las comunidades tsáchilas esperan que oficialicen un nuevo cronograma de intervención.,""
Perfeccionan detalles y protocolos de bioseguridad ,/santodomingo/noticia/1102338974/perfeccionan-detalles-y-protocolos-de-bioseguridad-,/contenido/cache/59/perfeccionan-detalles-y-protocolos-de-bioseguridad-imagen-1-_20210124103743-200x80.jpg,"Ayer, en la provincia Santo Domingo de los Tsáchilas se realizó el segundo simulacro electoral. Inició con un acto en el Instituto Tecnológico Tsáchila, que se ha considerado como Recinto Electoral Emblemático. ",""
Diario La Hora activo en tiempo de pandemia,/santodomingo/noticia/1102338975/diario-la-hora-activo-en-tiempo-de-pandemia,/contenido/cache/50/diario-la-hora-activo-en-tiempo-de-pandemia-imagen-1-_20210124103854-200x80.jpg,"Un nuevo reconocimiento recibió Diario La Hora Santo Domingo por su trabajo permanente en la provincia Tsáchila, lo que motiva a sus administradores y colaboradores a seguir con pie firme en la tarea de comunicar.",""
No se cobran multas por irrespeto a toque de queda,/tungurahua/noticia/1102338960/no-se-cobran-multas-por-irrespeto-a-toque-de-queda,/contenido/cache/57/no-se-cobran-multas-por-irrespeto-a-toque-de-queda-imagen-1-_20210124100731-200x138.jpg,En Tungurahua más de 6 mil personas fueron notificadas por incumplir el horario de circulación. ,""
Candidatos le apuestan al Facebook en sus campañas,/tungurahua/noticia/1102338959/candidatos-le-apuestan-al-facebook-en-sus-campanas,/contenido/cache/58/candidatos-le-apuestan-al-facebook-en-sus-campanas-imagen-1-_20210124095942-200x80.jpg,Fernando Gavilanes y Esteban Torres son los que más han gastado en pauta en esta red social en Tungurahua. ,""
Jóvenes se preparan para pasar de emprendedores a empresarios ,/tungurahua/noticia/1102338961/jovenes-se-preparan-para-pasar-de-emprendedores-a-empresarios-,/contenido/cache/63/jovenes-se-preparan-para-pasar-de-emprendedores-a-empresarios-imagen-1-_20210124101036-200x80.jpg,CorpoAmbato tendrá en un laboratorio de ocho módulos para 89 participantes para fortalecer sus propuestas. ,""
Ambato cuenta con semillero de emprendedores,/tungurahua/noticia/1102338875/ambato-cuenta-con-semillero-de-emprendedores,/contenido/cache/53/ambato-cuenta-con-semillero-de-emprendedores-imagen-1-_20210123084053-200x80.jpg,El Municipio de Ambato brinda un espacio para la asesoría y apoyo a proyectos productivos. ,""
Caricatura del día,/noticia/1102338939/caricatura-del-dia,/contenido/cache/37/caricatura-del-dia-imagen-1-_20210124083913-200x138.jpg,"",""
Jueces y fiscales desubicados,/noticia/1102338947/jueces-y-fiscales-desubicados,/autores/autorLahora2020_3.png,Uno de los pocos logros de este gobierno es haber emprendido el camino de regreso hacia la libertad de expresión. ,""
Pirotecnia,/noticia/1102338944/pirotecnia,/autores/FRANKLIN-BARRIGA.jpg,"Como prácticas de un tradicionalismo que proviene de siglos, de por medio bandas de música...",""
Clientes no partidarios,/noticia/1102338946/clientes-no-partidarios,/autores/Manuel-Castro.jpg,La finalidad obvia de la política es captar el poder. Los demócratas mediante elecciones...,""
"Caicedo, la promesa ecuatoriana, se pone a prueba en el fútbol inglés",/noticia/1102338841/caicedo-la-promesa-ecuatoriana-se-pone-a-prueba-en-el-futbol-ingles,/contenido/cache/68/caicedo-la-promesa-ecuatoriana-se-pone-a-prueba-en-el-futbol-ingles-imagen-1-_20210123024214-200x138.jpg,"Con apenas 19 años, la última promesa del fútbol ecuatoriano, el centrocampista Moisés Caicedo, viajará este viernes a Inglaterra.",""
Segura reconoce que jugar en México le servirá para crecer,/noticia/1102338006/segura-reconoce-que-jugar-en-mexico-le-servira-para-crecer,/contenido/cache/61/segura-reconoce-que-jugar-en-mexico-le-servira-para-crecer-imagen-1-_20210112094348-200x80.jpg,"El delantero ecuatoriano es el nuevo fichaje del Puebla, por lo que el jugador busca conseguir cosas importantes.",""
Entrenador de Católica padece cáncer de próstata ,/noticia/1102338007/entrenador-de-catolica-padece-cancer-de-prostata-,/contenido/cache/58/entrenador-de-catolica-padece-cancer-de-prostata-imagen-1-_20210112094443-200x80.jpg,"El entrenador colombiano Santiago 'Sachi' Escobar, que dirige a la Universidad Católica, ha sido diagnosticado con cáncer de próstata, informó el club ayer a través de un comunicado.",""
EL venezolano Otero da positivo por covid y será baja en el Corinthians,/noticia/1102338008/el-venezolano-otero-da-positivo-por-covid-y-sera-baja-en-el-corinthians,/contenido/cache/6c/el-venezolano-otero-da-positivo-por-covid-y-sera-baja-en-el-corinthians-imagen-1-_20210112094525-200x80.jpg,"El extremo venezolano Rómulo Otero dio positivo por coronavirus y será baja en los próximos cuatro partidos del Corinthians en el Campeonato Brasileño, informó ayer el entrenador del club, Vagner Mancini. ",""
"Caicedo, la promesa ecuatoriana, se pone a prueba en el fútbol inglés",/noticia/1102338841/caicedo-la-promesa-ecuatoriana-se-pone-a-prueba-en-el-futbol-ingles,/contenido/cache/68/caicedo-la-promesa-ecuatoriana-se-pone-a-prueba-en-el-futbol-ingles-imagen-1-_20210123024214-450x450.jpg,"
Sábado, 23 de enero de 2021 | 
Con apenas 19 años, la última promesa del fútbol ecuatoriano, el centrocampista Moisés Caicedo, viajará este viernes a Inglaterra. ","Sábado, 23 de enero de 2021 | "
EL venezolano Otero da positivo por covid y será baja en el Corinthians,/noticia/1102338008/el-venezolano-otero-da-positivo-por-covid-y-sera-baja-en-el-corinthians,/contenido/cache/6c/el-venezolano-otero-da-positivo-por-covid-y-sera-baja-en-el-corinthians-imagen-1-_20210112094525-1000x122.jpg,"
Miércoles, 13 de enero de 2021 | 
El extremo venezolano Rómulo Otero dio positivo por coronavirus y será baja en los próximos cuatro partidos del Corinthians en el Campeonato Brasileño, informó ayer el entrenador del club, Vagner Mancini. ","Miércoles, 13 de enero de 2021 | "
Entrenador de Católica padece cáncer de próstata ,/noticia/1102338007/entrenador-de-catolica-padece-cancer-de-prostata-,/contenido/cache/58/entrenador-de-catolica-padece-cancer-de-prostata-imagen-1-_20210112094443-1000x122.jpg,"
Miércoles, 13 de enero de 2021 | 
El entrenador colombiano Santiago 'Sachi' Escobar, que dirige a la Universidad Católica, ha sido diagnosticado con cáncer de próstata, informó el club ayer a través de un comunicado. ","Miércoles, 13 de enero de 2021 | "
Segura reconoce que jugar en México le servirá para crecer,/noticia/1102338006/segura-reconoce-que-jugar-en-mexico-le-servira-para-crecer,/contenido/cache/61/segura-reconoce-que-jugar-en-mexico-le-servira-para-crecer-imagen-1-_20210112094348-1000x122.jpg,"
Miércoles, 13 de enero de 2021 | 
El delantero ecuatoriano es el nuevo fichaje del Puebla, por lo que el jugador busca conseguir cosas importantes. ","Miércoles, 13 de enero de 2021 | "
Marchistas ecuatorianos se concentrarán en Kitami antes de Juegos Olímpicos,/noticia/1102337662/marchistas-ecuatorianos-se-concentraran-en-kitami-antes-de-juegos-olimpicos,/contenido/cache/6f/marchistas-ecuatorianos-se-concentraran-en-kitami-antes-de-juegos-olimpicos-imagen-1-_2021019094224-1000x122.jpg,"
Sábado, 09 de enero de 2021 | 
El presidente del Comité Olímpico Ecuatoriano (COE), Augusto Morán, suscribió este viernes un acuerdo con el alcalde de la ciudad japonesa de Kitami, Naotaka Tsuji, para que el equipo de marcha atlética se prepare. ","Sábado, 09 de enero de 2021 | "
