Titular,Link,Categoria,Resumen,Fecha
El último contrato de Messi asciende a más de 500 millones,https://as.com/futbol/2021/01/30/primera/1612047093_780978.html,            BARCELONA            ,El Mundo desvela las cifras: 138 millones de máximo por temporada entre fijos y variables; un bonus de renovación de 115 y una cláusula de fidelidad de casi 78.,31/01/2021
Militao no levanta cabeza,https://as.com/futbol/2021/01/30/primera/1612036504_718901.html,            REAL MADRID            ,"El brasileño se pegó un tiro en el pie con su expulsión, dejando al Madrid con diez más de 80 minutos. Con él de titular, el equipo pinchó en 10 de 21 partidos...",30/01/2021
Réquiem con diez,https://as.com/futbol/2021/01/30/primera/1612009585_328994.html,            REAL MADRID-LEVANTE            ,"FinalizadoEl Madrid jugó 82 minutos con uno menos, por expulsión de Militao, y vio como un Levante valiente le remontaba con goles de Morales y Roger.",30/01/2021
"","","","",28/01/2021
Dos misiles alejan la Champions,https://as.com/futbol/2021/01/30/primera/1612040283_194029.html,            VILLARREAL 1-REAL SOCIEDAD 1            ,"FinalizadoEl tanto de Isak en el 93' rescata a la Real y neutraliza el golazo inicial de Parejo (3'), El empate deja a ambos más lejos del sueño de meterse entre los cuatro primeros.",30/01/2021
El Sevilla mantiene una racha que aviva sus opciones europeas,https://as.com/futbol/2021/01/30/primera/1612019225_558882.html,            EIBAR 0- SEVILLA 2            ,"FinalizadoLos hispalenses se adelantaron en Ipurua tras un gol de penalti de Ocampos, que el árbitro concedió tras revisar la jugada en el monitor del VAR. Jordán hizo el segundo.",30/01/2021
"Palmeiras, agónico rey de América",https://as.com/futbol/2021/01/30/internacional/1612030300_838288.html,            FINAL COPA LIBERTADORES            ,"En DirectoFinalizadoSigue el Palmeiras vs Santos, en vivo y en directo online, final de la Copa Libertadores 2020; que se juega hoy, sábado 30 de enero, a través de As.com.",30/01/2021
¿Dice el Madrid adiós a la Liga?,/encuestas/2021/01/30/1612028738.html,            ENCUESTA            ,"",30/01/2021
Los ultras del Marsella pegan y roban a Álvaro González; el partido tuvo que ser suspendido,https://as.com/futbol/2021/01/30/internacional/1612018606_121353.html,            FRANCIA            ,"",30/01/2021
Al United se le escapa el liderato,https://as.com/futbol/2021/01/30/internacional/1612035881_003898.html,            ARSENAL 0-MAN. UNITED 0            ,Finalizado,30/01/2021
Cuarta victoria seguida para la Juve,https://as.com/futbol/2021/01/30/internacional/1611989813_574106.html,            SAMPDORIA 0 - JUVENTUS 2            ,Finalizado,30/01/2021
El efecto Jovic no se apaga,https://as.com/futbol/2021/01/30/internacional/1611988143_059354.html,            EINTRACHT 3- HERTHA 1            ,FinalizadoEl efecto Jovic no se apaga en Frankfurt y el Eintracht suma ya 33 puntos en tercera posición de la Bundesliga tras ganarle al Hertha.,30/01/2021
"Carrasco y Hermoso, bajas ante el Cádiz por coronavirus",https://as.com/futbol/2021/01/30/primera/1612003736_924347.html,            ATLÉTICO DE MADRID            ,El belga y el central se encuentran aislados en sus domicilios desde ayer después de dar positivo en las pruebas PCR. Son baja para Cádiz.,30/01/2021
Futre trolea al Madrid tras su derrota contra el Levante,https://as.com/futbol/2021/01/30/primera/1612028216_244275.html,            ATLÉTICO DE MADRID            ,El pinchazo blanco deja el camino cada vez más abierto al Atlético y la leyenda rojiblanca ironiza sobre el mal momento blanco.,30/01/2021
"El United, a por Ramos",https://as.com/futbol/2021/01/30/primera/1611996369_807249.html,            MERCADO DE FICHAJES            ,"En DirectoSigue en directo las últimas noticias sobre el mercado de fichajes en LaLiga, Segunda, Premier, Serie A, Bundesliga: traspasos, renovaciones...",31/01/2021
Ferran Torres y Gabriel Jesús encumbran al City,https://as.com/futbol/2021/01/30/internacional/1612025946_919937.html,            M. CITY 1 - SHEFFIELD 0            ,FinalizadoEl Manchester City se afianza en el liderato de la Premier League. El resultado pudo ser mayor en el segundo tiempo de no ser por Ramsdale.,30/01/2021
Un 'gallego' ilusiona al Arsenal,https://as.com/opinion/2021/01/30/blogs/1612008692_660823.html,"","",""
'Un polvorín Real',https://as.com/opinion/2021/01/28/blogs/1611862278_031196.html,"","",""
Los porteros lanzapenaltis,https://as.com/opinion/2021/01/28/blogs/1611822647_213371.html,"","",""
La inolvidable manita al Dream Team de Cruyff,https://as.com/opinion/2021/01/07/blogs/1610027733_934999.html,"","",""
Mi sueño es hacer el himno de la Decimocuarta del Madrid,https://as.com/opinion/2020/03/13/blogs/1584107171_300470.html,"","",""
El Madrid se estrena en Maracaná,https://as.com/opinion/2018/02/11/blogs/1518378129_282653.html,"","",""
La Superliga asegura pagar de una tacada el Nuevo Bernabéu,https://as.com/futbol/2021/01/30/primera/1611979903_490196.html,            REAL MADRID            ,"El dosier publicado por The Times revela que los 15 clubes fundadores se aseguran de inicio 350M€ por cabeza más 233 ""para reformas"".",30/01/2021
"Koeman: ""El Barça no está para ganar muchas cosas""",https://as.com/futbol/2021/01/30/primera/1612001364_088210.html,            BARCELONA            ,"Discurso crudo del técnico holandés, que asegura que Eric García ""vendrá la próxima temporada"" y que se desmarca de la filtración del informe técnico: ""No me interesa"".",30/01/2021
"""Un centro del campo con Maradona y Pelé de interiores""",https://as.com/futbol/2021/01/28/internacional/1611874657_000479.html,            #11LEYENDAS            ,"Axel Torres, colaborador de AS, nos ofrece su 11LeyendAS con un sistema moderno (4-3-3) pero con una alineación plagada de jugadores históricos de diferentes décadas.",29/01/2021
El portero del Caen se encuentra en la UCI tras desvanecerse sobre el césped,https://as.com/futbol/2021/01/30/internacional/1612047147_990590.html,            FRANCIA            ,Garissone Innocent se desvaneció sobre el césped y tuvo que se trasladado a un hospital. El club francés informó que el portero está consciente y a la espera de pruebas médicas,30/01/2021
"11 LeyendAS: ""El 10, el verdadero 10, no es otro que Maradona""",https://as.com/futbol/2021/01/30/internacional/1612045924_961873.html,            #11LEYENDAS            ,"Kiko Narváez, colaborador de AS y exjugador del Atlético y de la Selección, nos ofrece su once de leyendas basado en jugadores con los que coincidió, con cinco españoles.",30/01/2021
El jardín de Corpas y Sadiq,https://as.com/futbol/2021/01/30/segunda/1612044649_617548.html,            ALMERÍA 3-CASTELLÓN 1            ,FinalizadoEl delantero nigeriano desatasca con un cabezazo el embrollo en el que estaba el Almería. Asistió a José Corpas en el 1-0 en un gol de manual.,30/01/2021
Así ganan los líderes,https://as.com/futbol/2021/01/30/segunda/1612042376_582734.html,            MALLORCA 1- GIRONA 0            ,FinalizadoUn gol de Amath en el descuento aúpa al Mallorca en la primera plaza y hiere a un Girona que también apuntaba a parte alta y está lejos del objetivo.,30/01/2021
El Chimy presume de cicatrices,https://as.com/futbol/2021/01/30/primera/1612039028_932528.html,            OSASUNA            ,"Una segunda lesión de rodilla en septiembre lastró al bravo delantero de Osasuna, pero su pundonor le acerca de nuevo a los terrenos de juego.",30/01/2021
El saludo entre dos en el Arsenal-United que hace un año pensaban que estarían hoy en el Madrid,https://as.com/futbol/2021/01/30/videos/1612036443_039430.html,"",La imagen más curiosa del debut de Odegaard fue su saludo con alguien que hace un año se pensaba que sería su compañero en la casa blanca.,30/01/2021
"Gary Neville se rinde a Bruno Fernandes: ""Tiene fuego...""",https://as.com/futbol/2021/01/30/internacional/1612033237_064669.html,"","El extécnico del valencia y exjugador del Manchester United elogia al centrocampista portugués: ""Es la energía del equipo. Tiene fuego"".",30/01/2021
Está de Eurocopa y de lo que él quiera: la brutalidad de Morata que entusiasma a Pirlo,https://as.com/futbol/2021/01/30/videos/1612032933_882703.html,            SAMPDORIA 0 - JUVENTUS 2            ,"El 0-1 de la Juventus ante la Sampdoria llegó tras una gran acción del delantero español. Gran recepción, dejada y desmarque para después asistir a Chiesa.",30/01/2021
"""Con Militao basta una amarilla, Sergio León se iba a la izquierda""",https://as.com/futbol/2021/01/30/primera/1612032575_810787.html,            REAL MADRID-LEVANTE            ,"Butragueño se queja de la roja y añade que ""llama la atención que el árbitro no fuese a ver el penalti de Vinicius porque hay una toma en que se ve que es fuera del área"".",30/01/2021
Amath entrega el liderato al Mallorca con un gol en el 91',https://as.com/futbol/2021/01/30/segunda/1612031251_049911.html,"",FinalizadoEl senegalés marcó el tanto de la victoria en el descuento tras una gran jugada de Dani Rodríguez en un partido muy nivelado. El Mallorca se pone líder.,30/01/2021
"Courtois: ""No hemos hecho un mal partido""",https://as.com/futbol/2021/01/30/portada/1612028058_437901.html,            REAL MADRID 1-LEVANTE 2            ,Courtois expone su punto de vista sobre el rendimiento del conjunto blanco en una dura derrota ante el Levante UD.,30/01/2021
Wass le pone cabeza al Valencia,https://as.com/futbol/2021/01/30/primera/1612027175_880090.html,            VALENCIA 1 - ELCHE 0            ,FinalizadoUn gol de Daniel Wass le da la victoria al Valencia ante un Elche que se mantuvo vivo hasta el final gracias a un penalti que detuvo Edgar a Carlos Soler.,30/01/2021
El Albacete se lleva el botín ante un nulo Oviedo,https://as.com/futbol/2021/01/30/segunda/1612027027_441164.html,            REAL OVIEDO 0- ALBACETE 1            ,FinalizadoLos manchegos amplían su racha y salen del descenso mientras que los azules aumentan su pésima dinámica y se olvidan de los puestos de playoff.,30/01/2021
Diego Martínez: “Cualquier distracción extradeportiva no le viene bien al equipo”,https://as.com/futbol/2021/01/30/primera/1612026493_830445.html,            GRANADA-CELTA            ,"Diego Martínez tendrá que hacer, como él mismo dice “encaje de bolillos” para formar un once. No quiere entrar en asuntos extradeportivos y espera fichajes.",30/01/2021
Ramos y Lucas Vázquez estallan en la grada con el penalti a Clerc,https://as.com/futbol/2021/01/30/primera/1612025826_479597.html,            REAL MADRID-LEVANTE            ,Los no convocados del Real Madrid clamaron ante la decisión de pitar dentro la falta de Vinicius. Eso provocó el enfado de los del campo con el árbitro.,30/01/2021
Paco Baena: “Luis Aragonés era muy serio y quería siempre la perfección”,https://as.com/futbol/2021/01/30/primera/1612024650_213160.html,            CÁDIZ            ,"Paco Baena, ex futbolista del Cádiz y del Atlético de Madrid, cuenta su experiencia en el conjunto madrileño y con Aragonés como entrenador.",30/01/2021
Wass agudiza la crisis del Elche,https://as.com/futbol/2021/01/30/primera/1612023389_685148.html,"",FinalizadoResumen y resultado. Un gol de Wass aleja al Valencia de la zona baja. El Elche tuvo ocasiones pero perdonó. Edgar Badía paró un penalti a Carlos Soler.,30/01/2021
"Rafa Mir crece de la mano del ""efecto Pacheta""",https://as.com/futbol/2021/01/30/primera/1612023326_184130.html,            HUESCA            ,"El nuevo entrenador le ha cambiado la cara al equipo, que logró en Zorrilla su segundo triunfo de la temporada. Rafa Mir es el gran beneficiado.",30/01/2021
Chavarría deja helado al colista con un golazo en el descuento,https://as.com/futbol/2021/01/30/segunda/1612022612_687025.html,            ALCORCÓN - MÁLAGA            ,FinalizadoUna obra de arte del argentino en el 92' le da los tres puntos al Málaga y deja al Alcorcón aún más hundido en el fondo de la clasificación.,30/01/2021
"La polémica en el Di Stéfano: una roja, un penalti no pitado, otro sí, un gol que debió anularse...",https://as.com/futbol/2021/01/30/primera/1612021254_559685.html,            REAL MADRID-LEVANTE            ,Militao fue expulsado por derribar a Sergio León cuando se quedaba ante Courtois. Asensio marcó tras una acción protestada en el área del Madrid.,30/01/2021
Abel Ruiz se va de Copas,https://as.com/futbol/2021/01/30/migrantes_del_balon/1612017317_911832.html,            MIGRANTES DEL BALÓN            ,El delantero español formado en la cantera del FC Barcelona ha marcado cinco goles en cuatro apariciones en la Taça de Portugal.,30/01/2021
Zozulya reina en el Tartiere y saca del pozo al Albacete,https://as.com/futbol/2021/01/30/segunda/1612013916_079337.html,"",FinalizadoUn gol del ucraniano mediada la segunda parte le da la cuarta victoria en cinco encuentros al Albacete. El Oviedo sigue de capa caída en el Tartiere.,30/01/2021
Gabriel Jesus hace al City más líder,https://as.com/futbol/2021/01/30/internacional/1612012860_474066.html,"",FinalizadoUn solitario tanto del brasileño permitió al City sumar otros tres puntos para poner tierra de por medio con respecto a sus rivales más directos.,30/01/2021
"Así bailamos nosotros, Papu",https://as.com/futbol/2021/01/30/primera/1612005604_625840.html,            EIBAR 0 - SEVILLA 2            ,"FinalizadoCuarto triunfo seguido para los hispalenses, que asaltan la tercera posición. Ocampos y Joan Jordán, goleadores. Dmitrovic rompió a llorar tras lesionarse.",30/01/2021
El tridente coge vuelo,https://as.com/futbol/2021/01/30/primera/1612004605_981805.html,            REAL MADRID            ,"Hazard, Benzema y Asensio han sido titulares en tres de los últimos cuatro partidos. Con ellos en el once el Madrid promedia casi un gol más por encuentro.",30/01/2021
"""Un jugador no puede solo tirar faltas, eso solo pasa en rugby""",https://as.com/futbol/2021/01/30/internacional/1612000040_751522.html,            ITALIA            ,"Antonio Conte le pidió más a Eriksen después de su gol de falta al Milan. Este quería salir, pero el Inter le cerró las puertas al no conseguir ningún recambio.",30/01/2021
Ronaldo confiesa la espinita que le quedó con el Real Madrid,https://as.com/futbol/2021/01/30/videos/1611995844_768411.html,            REAL MADRID            ,"Ronaldo Nazario habla sobre sus etapas en el Real Madrid, Corinthians, Cruzeiro o Inter de Milán y deja una confesión sincera.",30/01/2021
"Palmeiras - Santos, duelo paulista por el trono continental",https://as.com/futbol/2021/01/30/reportajes/1611989787_192800.html,"",El Verdao y el Peixe disputarán en Maracaná la final de la Copa Libertadores. Los dos equipos de Sao Paulo buscan reemplazar a Flamengo como el mejor equipo de Sudamérica.,30/01/2021
"Río, capital de América",https://as.com/futbol/2021/01/30/internacional/1611982411_780410.html,            COPA LIBERTADORES | PALMEIRAS - SANTOS            ,FinalizadoPalmeiras y Santos llevan su rivalidad histórica a una final brasileña de la Copa Libertadores este sábado en Maracanã. Un duelo de estilos entre dos gigantes del fútbol de Brasil.,30/01/2021
Koeman da por perdido a Eric,https://as.com/futbol/2021/01/30/primera/1611978485_897693.html,            BARCELONA            ,"Mientras los candidatos se enredan en batallas internas, el técnico azulgrana sabe hace días que no vendrá. Un informe desvelado por TV3 desacredita a Umtiti y Mingueza.",30/01/2021
Suárez se ha ganado a todos,https://as.com/futbol/2021/01/30/primera/1611977625_412303.html,            ATLÉTICO DE MADRID            ,"El uruguayo cautiva al vestuario del Atlético de Madrid y al club con sus goles ganadores, como ante el Eibar y el Alavés, pero más aún por su implicación, su hambre y su liderazgo.",30/01/2021
Trampolín rojiblanco,https://as.com/futbol/2021/01/30/primera/1611977191_688989.html,            ATLÉTICO DE MADRID            ,"Germán Valera y Borja Garcés son dos grandes ejemplos de que el filial fabrica talento. Pese a que los resultados no acompañan, estas operaciones invitan a creer en el equipo.",30/01/2021
La prueba del Almirón,https://as.com/futbol/2021/01/30/primera/1611974318_299997.html,            VALENCIA - ELCHE            ,"FinalizadoGracia se juega su crédito y quizás el puesto tras la Copa; el Elche, 13 jornadas sin ganar; les separan solo tres puntos en la clasificación.",30/01/2021
Último tren a la Champions,https://as.com/futbol/2021/01/30/primera/1611973468_127875.html,            VILLARREAL - REAL SOCIEDAD            ,"FinalizadoEl Villarreal se aferra a Alcácer ante las bajas. La Real llega con dos triunfos en 16 partidos e Imanol cuestionado (21:00, Mov. LaLiga).",30/01/2021
El Valencia se fija en Nehuén,https://as.com/futbol/2021/01/30/primera/1611972279_821357.html,            GRANADA            ,"El conjunto ché se ha mostrado interés en conseguir la cesión del central, aunque no ha presentado oferta. Está pendiente de otras incorporaciones para tomar una decisión.",30/01/2021
José Gomes saca a su once de gala ante el Castellón,https://as.com/futbol/2021/01/30/segunda/1611970180_434652.html,            ALMERÍA - CASTELLÓN            ,FinalizadoEl Almería pretende redimirse del último pinchazo con la baza de Umar Sadiq ante un Castellón que busca su segundo triunfo consecutivo para tomar oxígeno.,30/01/2021
"""La clave es ser solidarios y tener un alto nivel de compromiso""",https://as.com/futbol/2021/01/30/segunda/1611969732_554612.html,            MIRANDÉS | JOSÉ ALBERTO            ,José Alberto asegura que la línea a seguir es la marcada en el último encuentro ante el Cartagena. Las Palmas visitará Anduva en racha.,30/01/2021
El Tartiere mide la reacción de un Albacete en buena dinámica,https://as.com/futbol/2021/01/30/segunda/1611969020_196618.html,            OVIEDO - ALBACETE            ,"FinalizadoLos azules, sin Ziganda, se enfrentan a los manchegos, con la baja de Ortuño. Los carbayones podrían volver al sistema de medias puntas. Jiménez y Zozulia, referencias arriba.",30/01/2021
Otra final para el Alcorcón ante un Málaga en caída y con nervios,https://as.com/futbol/2021/01/30/segunda/1611966838_818971.html,            ALCORCÓN - MÁLAGA            ,"FinalizadoEl Alcorcón que es colista, recibe al Málaga, que lleva seis jornadas sin ganar y tiene muchas dudas. Anquela y Pellicer harán cambios.",30/01/2021
Stuani y Mamadou Sylla amenazan a un Mallorca crecido,https://as.com/futbol/2021/01/30/segunda/1611965625_108634.html,            MALLORCA - GIRONA            ,FinalizadoLa victoria en Vallecas ha devuelto al mejor Mallorca de la primera vuelta y contra el Girona toca refrendarlo y demostrar que el bache ya ha pasado.,30/01/2021
"""Ganar en carrera a Cristiano con 36 años chocó bastante""",https://as.com/futbol/2021/01/30/primera/1611965586_498262.html,            REAL MADRID - LEVANTE | BALLESTEROS            ,Llega un Madrid-Levante y es inevitable acordarse de Sergio Ballesteros.  El mítico central granota rememora sus choques con AS.,30/01/2021
"Darder, de la cólera al éxtasis",https://as.com/futbol/2021/01/30/segunda/1611965270_434283.html,            ESPANYOL - RAYO VALLECANO            ,El último Espanyol-Rayo brindó uno de los momentos cumbre del equipo perico en Cornellà y del mediocentro en una posición ideal que ha recuperado.,30/01/2021
"David Aznar y su gran reto en un ""especial"" Barça - Real Madrid",https://as.com/futbol/2021/01/30/femenino/1611964543_756001.html,            PRIMERA IBERDROLA            ,"El técnico se muestra ""ilusionado"" de volver a enfrentarse al eterno rival, frente al que firmó tres dolorosas derrotas en estas dos temporadas.",30/01/2021
"Guijarro: ""El Madrid ha crecido mucho y puede hacernos daño""",https://as.com/futbol/2021/01/30/femenino/1611964179_254203.html,            PRIMERA IBERDROLA | BARCELONA - REAL MADRID            ,"La balear atiende en una entrevista a AS antes de enfrentarse al Real Madrid. ""Es un rival directo, pero no tenemos presión"", asegura.",30/01/2021
Narváez saca al Real Zaragoza del descenso,https://as.com/futbol/2021/01/29/segunda/1611958396_585441.html,            REAL ZARAGOZA 1-PONFERRADINA 0            ,"FinalizadoEn el peor partido de la era JIM, el equipo aragonés sudó tinta china para imponerse a la Ponferradina gracias a un penalti a instancias del VAR.",29/01/2021
El Madrid aún suspira con Rafa Mir,https://as.com/futbol/2021/01/29/primera/1611957505_659577.html,            HUESCA            ,"El club blanco estuvo cerca de fichar al entonces 9 del Valencia, pero en Mestalla se negaron a que fuera al Bernabéu y prefirieron que recalara en el Wolverhampton.",29/01/2021
"Carlos Embalo, segundo fichaje de invierno del Alcorcón",https://as.com/futbol/2021/01/29/segunda/1611954554_168943.html,            ALCORCÓN            ,El guineano de 26 años puede jugar de delantero o de extremo izquierdo. Llega procedente del KAS Eupen de la Primera División de Bélgica.,29/01/2021
Simeone da vueltas al plan B si no juegan Hermoso y Carrasco,https://as.com/futbol/2021/01/29/primera/1611951713_764880.html,            ATLÉTICO DE MADRID            ,"El técnico está a la espera de los test de sus futbolistas, que este viernes tuvieron un resultado ""no concluyente"". Son dos piezas clave en su nuevo sistema y si fallan ellos, se trastoca todo.",29/01/2021
"Roncaglia, adiós a la temporada",https://as.com/futbol/2021/01/29/primera/1611949235_181649.html,            OSASUNA            ,El defensa argentino de Osasuna se despide del presente curso después de que las pruebas hayan mostrado que sufre una rotura del recto anterior de su pierna derecha con afectación tendinosa.,29/01/2021
Ya le han dado el día a Cristiano: superan por mucho una de sus marcas más queridas,https://as.com/futbol/2021/01/29/videos/1611949198_955986.html,"","El defensa ugandés del Motherwell, Mugabi, alcanzó una altura de 262 cm, superando los 256 que tenía Ronaldo. Saltó 75 cm del suelo en comparación con los 71 del luso.",29/01/2021
